"   ","LEG_NO","MASTER_FLIGHT_NO","ACTUAL_DEPARTURE_DT","ACTUAL_ARRIVAL_DT","AC_REG_CD","ASSMBL_CD","LOC_CD","LOC_CD"
"138","QFA0557","QFA0557","23/04/2019 10:30:00 AM","23/04/2019 11:50:00 AM","VH-VZT","N37","SYD","BNE"
"139","QFA0853","QFA0853","23/04/2019 12:01:00 AM","23/04/2019 1:08:00 AM","VH-VZF","N37","MEL","CBR"
"140","QFA0661","QFA0661","23/04/2019 9:00:00 PM","23/04/2019 11:30:00 PM","VH-VZF","N37","ADL","BNE"
"141","QFA0616","QFA0616","23/04/2019 2:16:00 AM","23/04/2019 4:24:00 AM","VH-VZF","N37","BNE","MEL"
"142","QFA0544","QFA0544","23/04/2019 7:55:00 AM","23/04/2019 9:22:00 AM","VH-VZF","N37","BNE","SYD"
"143","QFA0537","QFA0537","23/04/2019 5:05:00 AM","23/04/2019 6:29:00 AM","VH-VZF","N37","SYD","BNE"
"144","QFA7376","QFA7376","23/04/2019 9:53:00 AM","23/04/2019 10:19:00 AM","VH-XMR","737","LST","HBA"
"145","QFA7370","QFA7370","23/04/2019 8:46:00 PM","23/04/2019 10:01:00 PM","VH-XMR","737","MEL","HBA"
"146","QFA7365","QFA7365","23/04/2019 10:56:00 AM","23/04/2019 11:52:00 AM","VH-XMR","737","MEL","LST"
"147","QFA7357","QFA7357","23/04/2019 6:50:00 PM","23/04/2019 7:58:00 PM","VH-XMR","737","HBA","MEL"
"148","QFA7350","QFA7350","23/04/2019 12:50:00 PM","23/04/2019 3:02:00 PM","VH-XMR","737","BNE","MEL"
"149","QFA7307","QFA7307","23/04/2019 6:59:00 AM","23/04/2019 8:13:00 AM","VH-XMR","737","HBA","MEL"
"150","QFA7305","QFA7305","23/04/2019 4:09:00 PM","23/04/2019 6:12:00 PM","VH-XMR","737","MEL","BNE"
"151","QFA1125","QFA1125","23/04/2019 9:58:00 AM","23/04/2019 11:50:00 AM","VH-VXD","N37","PER","PHE"
"152","QFA1110","QFA1110","23/04/2019 10:20:00 PM","24/04/2019 12:15:00 AM","VH-VXD","N37","PHE","PER"
"153","QFA0475","QFA0475","23/04/2019 1:42:00 AM","23/04/2019 5:40:00 AM","VH-VXD","N37","PER","MEL"
"154","QFA0810","QFA0810","23/04/2019 6:46:00 AM","23/04/2019 9:31:00 AM","VH-VXM","N37","ADL","PER"
"155","QFA0660","QFA0660","23/04/2019 8:30:00 PM","23/04/2019 10:49:00 PM","VH-VXM","N37","BNE","ADL"
"156","QFA0587","QFA0587","23/04/2019 1:15:00 AM","23/04/2019 4:22:00 AM","VH-VXM","N37","PER","ADL"
"158","QFA1111","QFA1111","23/04/2019 1:00:00 AM","23/04/2019 2:55:00 AM","VH-VYF","N37","PER","PHE"
"159","QFA1091","QFA1091","23/04/2019 11:47:00 PM","24/04/2019 1:23:00 AM","VH-VYF","N37","PER","ZNE"
"160","QFA1090","QFA1090","23/04/2019 9:24:00 PM","23/04/2019 11:03:00 PM","VH-VYF","N37","ZNE","PER"
"161","QFA0853","QFA0853","23/04/2019 11:51:00 PM","24/04/2019 12:53:00 AM","VH-VZM","N37","MEL","CBR"
"162","QFA0814","QFA0814","23/04/2019 10:07:00 PM","23/04/2019 11:02:00 PM","VH-VZM","N37","CBR","MEL"
"163","QFA0621","QFA0621","23/04/2019 3:09:00 AM","23/04/2019 5:13:00 AM","VH-VZM","N37","MEL","BNE"
"164","QFA0612","QFA0612","23/04/2019 12:09:00 AM","23/04/2019 2:16:00 AM","VH-VZM","N37","BNE","MEL"
"165","QFA0465","QFA0465","23/04/2019 9:12:00 AM","23/04/2019 10:31:00 AM","VH-VZM","N37","MEL","SYD"
"166","QFA0450","QFA0450","23/04/2019 6:28:00 AM","23/04/2019 7:42:00 AM","VH-VZM","N37","SYD","MEL"
"167","QFA0826","QFA0826","23/04/2019 6:14:00 AM","23/04/2019 7:09:00 AM","VH-VZS","N37","CBR","MEL"
"168","QFA0796","QFA0796","23/04/2019 11:22:00 PM","24/04/2019 2:05:00 AM","VH-VZS","N37","ASP","MEL"
"169","QFA0737","QFA0737","23/04/2019 7:55:00 AM","23/04/2019 9:26:00 AM","VH-VZS","N37","ADL","CBR"
"170","QFA0686","QFA0686","23/04/2019 3:35:00 AM","23/04/2019 4:44:00 AM","VH-VZS","N37","MEL","ADL"
"171","QFA0683","QFA0683","23/04/2019 1:39:00 AM","23/04/2019 2:43:00 AM","VH-VZS","N37","ADL","MEL"
"172","QFA0670","QFA0670","23/04/2019 8:32:00 PM","23/04/2019 9:42:00 PM","VH-VZS","N37","MEL","ADL"
"173","QFA0855","QFA0855","23/04/2019 2:28:00 AM","23/04/2019 3:26:00 AM","VH-VYJ","N37","MEL","CBR"
"174","QFA0816","QFA0816","23/04/2019 12:49:00 AM","23/04/2019 1:47:00 AM","VH-VYJ","N37","CBR","MEL"
"175","QFA0636","QFA0636","23/04/2019 10:03:00 AM","23/04/2019 12:06:00 PM","VH-VYJ","N37","BNE","MEL"
"176","QFA0609","QFA0609","23/04/2019 9:12:00 PM","23/04/2019 11:15:00 PM","VH-VYJ","N37","MEL","BNE"
"177","QFA0451","QFA0451","23/04/2019 7:14:00 AM","23/04/2019 8:39:00 AM","VH-VYJ","N37","MEL","SYD"
"178","QFA0440","QFA0440","23/04/2019 4:34:00 AM","23/04/2019 5:50:00 AM","VH-VYJ","N37","SYD","MEL"
"179","QFA0635","QFA0635","23/04/2019 8:08:00 AM","23/04/2019 10:22:00 AM","VH-VZB","N37","MEL","BNE"
"180","QFA0624","QFA0624","23/04/2019 5:10:00 AM","23/04/2019 7:16:00 AM","VH-VZB","N37","BNE","MEL"
"181","QFA0610","QFA0610","23/04/2019 11:09:00 PM","24/04/2019 1:15:00 AM","VH-VZB","N37","BNE","MEL"
"182","QFA0429","QFA0429","23/04/2019 1:34:00 AM","23/04/2019 2:47:00 AM","VH-VZB","N37","MEL","SYD"
"183","QFA1086","QFA1086","23/04/2019 10:08:00 PM","23/04/2019 11:44:00 PM","VH-VZP","N37","ZNE","PER"
"184","QFA0569","QFA0569","23/04/2019 6:45:00 AM","23/04/2019 11:29:00 AM","VH-VZP","N37","PER","SYD"
"185","QFA0438","QFA0438","23/04/2019 4:00:00 AM","23/04/2019 5:16:00 AM","VH-VZP","N37","SYD","MEL"
"186","QFA0427","QFA0427","23/04/2019 1:16:00 AM","23/04/2019 2:30:00 AM","VH-VZP","N37","MEL","SYD"
"187","QFA1357","QFA1357","23/04/2019 12:30:00 AM","23/04/2019 2:14:00 AM","VH-VXH","N37","PER","GBW"
"188","QFA0860","QFA0860","23/04/2019 11:45:00 PM","24/04/2019 1:02:00 AM","VH-VXH","N37","OOL","SYD"
"189","QFA0730","QFA0730","23/04/2019 8:26:00 PM","23/04/2019 10:13:00 PM","VH-VXH","N37","SYD","ADL"
"190","QFA0667","QFA0667","23/04/2019 8:53:00 AM","23/04/2019 11:15:00 AM","VH-VXH","N37","ADL","BNE"
"191","QFA0598","QFA0598","23/04/2019 3:31:00 AM","23/04/2019 8:11:00 AM","VH-VXH","N37","BNE","PER"
"192","QFA0811","QFA0811","23/04/2019 10:56:00 PM","23/04/2019 11:51:00 PM","VH-VYA","N37","MEL","CBR"
"193","QFA0783","QFA0783","23/04/2019 9:17:00 AM","23/04/2019 11:08:00 AM","VH-VYA","N37","ADL","SYD"
